Single,Question,Segment Type,Count,Segment Description,Answer,Percentage,timestamp,Values
False,are there any good romantic comedies out right now,Mobile,797,Mobile respondents,Yes,0.96695176990641,21/12/21 18:53,1
False,show me a movie about cars that talk,Web,1969,Mobile respondents,No,0.514801671117009,21/12/21 19:08,1
False,list the five star rated movies starring mel gibson,Mobile,1090,Mobile respondents,I don't use Tinder,0.53901418715461,21/12/21 19:23,1
True,what science fiction films have come out recently,University,0,Web-based respondents,Yes,0.29566897103433,21/12/21 19:38,1
True,did the same director make all of the harry potter movies,University,0,Web-based respondents,No,0.401145420868218,21/12/21 19:53,
False,show me 1980s action movies,University,0,Web-based respondents,I don't use Tinder,0.931669021058251,21/12/21 20:08,
False,what is the name of the third movie in the star trek series,University,472,Male respondents,Yes,0.377296690532886,21/12/21 20:23,1
True,can you get a soundtrac for the harry potter films,University,1172,Male respondents,No,0.85572017875901,21/12/21 20:38,1
True,find me science fiction movies since 2005,Mobile,574,Male respondents,I don't use Tinder,0.455284378793058,21/12/21 20:53,
True,what is the most current movie featuring mat damon,Mobile,325,Female respondents,Yes,0.289715426612171,21/12/21 21:08,
False,show me films where jim carrey is a detective,Mobile,797,Female respondents,No,0.635463359824536,21/12/21 21:23,1
False,did george clooney make a musical in the 1980s,University,516,Female respondents,I don't use Tinder,0.026556676045258,21/12/21 21:38,1
False,show me films with both matt damon ad ben affleck,Mobile,13,Chapman University,Yes,0.034770251746921,21/12/21 21:53,1
False,what is the borrowers movie,University,31,Chapman University,No,0.058781424351462,21/12/21 22:08,1
False,have u movie hm about to pg 18,University,19,Chapman University,I don't use Tinder,0.804120161529991,21/12/21 22:23,
False,find rated g films with flying cars,University,47,Cornell University,Yes,0.687085072517745,21/12/21 22:38,
True,what was the best rated stanley kubrick film,University,95,Cornell University,No,0.013489627897105,21/12/21 22:53,
False,are there any films directed by shawn levy about large families,University,51,Cornell University,I don't use Tinder,0.131267303984126,21/12/21 23:08,1
True,list pg rated movies about cars released in the 1990s,Web,0,Duke University,Yes,0.395502115295777,21/12/21 23:23,
True,what movie won best picure at the 2012 oscars,Mobile,2,Duke University,No,0.50348659512702,21/12/21 23:38,1
True,find me childrens movies with daniel radcliffe from the 2000s,Web,1,Duke University,I don't use Tinder,0.050187125073879,21/12/21 23:53,
True,what was the plot behind 3 days of the condor,Mobile,1,George Washington University,Yes,0.731430325396749,22/12/21 00:08,1
False,what are considered the must see sci fi movies of the 1970s,Mobile,3,George Washington University,No,0.483636922924564,22/12/21 00:23,1
True,who directed the film pulp fiction that starred john travolta,University,0,George Washington University,I don't use Tinder,0.409012603939592,22/12/21 00:38,1
True,which film has the highest viewer rating this year,University,2,Georgetown University,Yes,0.684231478687358,22/12/21 00:53,1
True,what was the first movie in color,Mobile,1,Georgetown University,No,0.45489151020916,22/12/21 01:08,
True,may i have the highly acclaimed film from 1985 directed by sylvester stallone,University,1,Georgetown University,I don't use Tinder,0.884580245059637,22/12/21 01:23,1
False,list the action films starring hugh jackman,University,1,Harvard University,Yes,0.538560974568398,22/12/21 01:38,1
True,what is a bronx tale rated,Mobile,2,Harvard University,No,0.294180855870157,22/12/21 01:53,1
True,is there a pg 13 movie thats scary,Mobile,0,Harvard University,I don't use Tinder,0.502393071029378,22/12/21 02:08,
True,what movies made in 2004 were pg,University,9,Indiana University,Yes,0.746798065706242,22/12/21 02:23,
True,find movies with robert diniero in it,Mobile,30,Indiana University,No,0.128377151959388,22/12/21 02:38,1
False,have pg 13 movies for the kidz,Mobile,5,Indiana University,I don't use Tinder,0.334576410925021,22/12/21 02:53,
False,list the science fiction movies directed by shawn levy,Mobile,33,Johns Hopkins University,Yes,0.770586488207449,22/12/21 03:08,
True,what was the last film elizabeth montgomery starred in,Mobile,76,Johns Hopkins University,No,0.801974325929661,22/12/21 03:23,1
True,did george clooney direct any comedy films,Mobile,29,Johns Hopkins University,I don't use Tinder,0.458444509348609,22/12/21 03:38,
True,what is brad pitts first movie,Mobile,31,Northwestern University,Yes,0.073275442736484,22/12/21 03:53,
False,find me the movie that has a aerosmith song,University,65,Northwestern University,No,0.690198148293467,22/12/21 04:08,
True,are there any drama movies with seth green,University,24,Northwestern University,I don't use Tinder,0.598791322251542,22/12/21 04:23,
True,what is the movie with an aerosmith song,Mobile,6,Ohio State University,Yes,0.19378046061727,22/12/21 04:38,
False,what is the highest rated kids new release,Mobile,12,Ohio State University,No,0.298094417043094,22/12/21 04:53,
False,worst review for 2011 movies,University,1,Ohio State University,I don't use Tinder,0.809404458125238,22/12/21 05:08,1
False,show me the milos forman movies from the 1980s,Mobile,1,Princeton University,Yes,0.368696957262165,22/12/21 05:23,
False,lets find an independent film company,Mobile,1,Princeton University,No,0.984574488502146,22/12/21 05:38,
True,which movies were based off of video games besides resident evil,Web,0,Princeton University,I don't use Tinder,0.918449317882038,22/12/21 05:53,
False,did dame judy dench star in a british film about queen elizabeth,Web,5,San Diego State University,Yes,0.661003674545908,22/12/21 06:08,
False,present list of family movies that chris columbus directed,Mobile,15,San Diego State University,No,0.439251694822746,22/12/21 06:23,1
True,find a movie with dogs as the main character,Mobile,6,San Diego State University,I don't use Tinder,0.340651956028663,22/12/21 06:38,1
False,show me movies about horse racing,Mobile,0,Santa Clara University,Yes,0.2849153763712,22/12/21 06:53,
True,show me morgan freeman movies from the 90s,University,4,Santa Clara University,No,0.535104273253071,22/12/21 07:08,1
False,find me the movies that starred anne hathaway and julie andrews,Web,1,Santa Clara University,I don't use Tinder,0.229603371230924,22/12/21 07:23,
True,has sandra bullock made any g rated movies,Mobile,3,Southern Methodist University,Yes,0.403776135683167,22/12/21 07:38,1
False,list the dirty harry films from the 1980s,University,4,Southern Methodist University,No,0.597275618239679,22/12/21 07:53,
True,show me movies about strippers,University,2,Southern Methodist University,I don't use Tinder,0.087563435241094,22/12/21 08:08,
False,are there any meg ryan romantic comedy movies that are considered must see,Mobile,13,Stanford University,Yes,0.914107488691551,22/12/21 08:23,1
True,what was james camerons directorial debut,Web,58,Stanford University,No,0.862282011481372,22/12/21 08:38,
True,what are top 50 movies of all time,Mobile,37,Stanford University,I don't use Tinder,0.82166092128377,22/12/21 08:53,1
False,find me comedy movies with liam hemsworth,University,3,Tulane University,Yes,0.974231983176712,22/12/21 09:08,
False,i want to see cradle 2 the grave,University,3,Tulane University,No,0.449570970685449,22/12/21 09:23,
False,what was the most popular movie from 2004,Mobile,1,Tulane University,I don't use Tinder,0.12436187234673,22/12/21 09:38,
False,what is the g rated movie about rabbits looking for a new home,Mobile,24,University of Pennsylvania,Yes,0.050993457463642,22/12/21 09:53,
True,what latest 3d movie of any genre is reccommend,Mobile,60,University of Pennsylvania,No,0.151621660940284,22/12/21 10:08,
False,how many movies have tim burton and johnny depp done together,Web,24,University of Pennsylvania,I don't use Tinder,0.631058953054285,22/12/21 10:23,1
False,how many times has matt damon been jason bourne,Mobile,34,University of Wisconsin-Madison,Yes,0.762855034164686,22/12/21 10:38,
True,whats the latetest foreign romantic movie with lots of sex and sadness,Mobile,71,University of Wisconsin-Madison,No,0.087270891716916,22/12/21 10:53,
False,list movies with jeremy piven released in the 1990s,Mobile,21,University of Wisconsin-Madison,I don't use Tinder,0.230632294025529,22/12/21 11:08,1
False,show me the collection of action movies of arnold,University,2,University of Alabama,Yes,0.855203638024978,22/12/21 11:23,1
False,are there comic book movies that are over pg 13,University,11,University of Alabama,No,0.661854081928288,22/12/21 11:38,
False,the new batman movie looks epic,Web,2,University of Alabama,I don't use Tinder,0.323623127183617,22/12/21 11:53,1
True,show me movies who won awards,Mobile,25,"University of California, Berkeley",Yes,0.798789869142873,22/12/21 12:08,1
True,what is the year that dirty dancing was released,Mobile,47,"University of California, Berkeley",No,0.933833455819967,22/12/21 12:23,1
True,favorite quote from action movies,Web,19,"University of California, Berkeley",I don't use Tinder,0.839736712370216,22/12/21 12:38,1
True,find me the g rated movies with dogs that were released in the 2000s,University,3,"University of California, Davis",Yes,0.679352776856077,22/12/21 12:53,1
False,are there any silent movies made after 1930,Mobile,8,"University of California, Davis",No,0.503809927259198,22/12/21 13:08,
True,who was the actress in the goodbye girl with richard dreyfuss,Mobile,6,"University of California, Davis",I don't use Tinder,0.147992425732528,22/12/21 13:23,
False,which movies are made with video game plots,University,1,"University of California, Los Angeles",Yes,0.556021794282196,22/12/21 13:38,
False,what video game movies are due to release in 2013,Mobile,7,"University of California, Los Angeles",No,0.206716254823571,22/12/21 13:53,
True,id like the not to be missed nicole kidman musical,Mobile,5,"University of California, Los Angeles",I don't use Tinder,0.812132053895155,22/12/21 14:08,
False,what movie has the most remakes,University,24,"University of California, Santa Barbara",Yes,0.994819820686838,22/12/21 14:23,
True,what shakespeare films take place in italy,Mobile,34,"University of California, Santa Barbara",No,0.479213351905015,22/12/21 14:38,
True,what was channing tatums first movie,Mobile,17,"University of California, Santa Barbara",I don't use Tinder,0.085835397179171,22/12/21 14:53,1
False,i would like a list of movies about dancing from the past 10 years,University,3,University of Colorado Boulder,Yes,0.359714779016382,22/12/21 15:08,
False,who stars in project x,Mobile,3,University of Colorado Boulder,No,0.208538285763262,22/12/21 15:23,1
True,find action movies featuring comic book characters,Mobile,0,University of Colorado Boulder,I don't use Tinder,0.761977670628164,22/12/21 15:38,
True,what are some g rated movies with fairies,Web,0,University of Miami,Yes,0.142160675209011,22/12/21 15:53,
True,name a movie starring britney spears,University,0,University of Miami,No,0.427884386132541,22/12/21 16:08,1
