qid1,qid2,question1,question2,is_duplicate
37.0,38.0,Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,1.0
39.0,40.0,Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,0.0
41.0,42.0,Why do rockets look white?,Why are rockets and boosters painted white?,1.0
47.0,48.0,How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?,0.0
49.0,50.0,What does it mean that every time I look at the clock the numbers are the same?,How many times a day do a clock’s hands overlap?,0.0
51.0,52.0,What are some tips on making it through the job interview process at Medicines?,What are some tips on making it through the job interview process at Foundation Medicine?,0.0
53.0,54.0,What is web application?,What is the web application framework?,0.0
55.0,56.0,Does society place too much importance on sports?,How do sports contribute to the society?,0.0
57.0,58.0,What is best way to make money online?,What is best way to ask for money online?,0.0
59.0,60.0,How should I prepare for CA final law?,How one should know that he/she completely prepare for CA final exam?,1.0
61.0,62.0,What's one thing you would like to do better?,What's one thing you do despite knowing better?,0.0
63.0,64.0,What are some special cares for someone with a nose that gets stuffy during the night?,How can I keep my nose from getting stuffy at night?,1.0
65.0,66.0,What Game of Thrones villain would be the most likely to give you mercy?,What Game of Thrones villain would you most like to be at the mercy of?,1.0
67.0,68.0,"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",How is the average speed of gas molecules determined?,0.0
69.0,70.0,What is the best travel website in spain?,What is the best travel website?,0.0
71.0,72.0,Why do some people think Obama will try to take their guns away?,Has there been a gun control initiative to take away guns people already own?,0.0
79.0,80.0,What is the stall speed and AOA of an f-14 with wings fully swept back?,"Why did aircraft stop using variable-sweep wings, like those on an F-14?",0.0
81.0,82.0,Why do Slavs squat?,Will squats make my legs thicker?,0.0
83.0,84.0,When can I expect my Cognizant confirmation mail?,When can I expect Cognizant confirmation mail?,1.0
85.0,86.0,"Can I make 50,000 a month by day trading?","Can I make 30,000 a month by day trading?",0.0
87.0,88.0,Is being a good kid and not being a rebel worth it in the long run?,Is being bored good for a kid?,0.0
89.0,90.0,What universities does Rexnord recruit new grads from? What majors are they looking for?,What universities does B&G Foods recruit new grads from? What majors are they looking for?,0.0
91.0,92.0,What is the quickest way to increase Instagram followers?,How can we increase our number of Instagram followers?,0.0
163.0,164.0,What is the right etiquette for wishing a Jehovah Witness happy birthday?,How important is it to be the first person to wish someone a happy birthday?,0.0
165.0,166.0,"If someone wants to open a commercial FM radio station in any city of India, how much does it cost and what is the procedure?","I want to make a travel commercial/clip video HD , For India and New Zealand. How much will it cost?",0.0
167.0,168.0,Why do Swiss despise Asians?,Why do technical employees despise sales people so much?,0.0
169.0,170.0,What are some of the high salary income jobs in the field of biotechnology?,What are some high paying jobs for a fresher with an M.Tech in biotechnology?,1.0
171.0,172.0,How can I increase my height after 21 also?,Can height increase after 25?,1.0
173.0,174.0,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Kamchatca earthquakes in 1952?","What were the major effects of the cambodia earthquake, and how do these effects compare to the Valparaiso earthquake in 1822?",1.0
175.0,176.0,What is the difference between sincerity and fairness?,What's the difference between honest and sincere?,0.0
177.0,178.0,Which is the best gaming laptop under 60k INR?,Which is the best gaming laptop under Rs 60000?,1.0
179.0,180.0,What is your review of The Next Warrior: Proving Grounds - Part 9?,What is your review of The Next Warrior: Proving Grounds - Part 5?,0.0
181.0,182.0,What is the best reference book for physics class 11th?,"Which book should I choose for reference for physics and chemistry (class 11, CBSE board)?",0.0
183.0,184.0,"National Institute of Technology, Kurukshetra: How is the social life at NITK, Surathkal?","National Institute of Technology Karnataka (NITK) , Surathkal: To the graduating batch: What lessons would you want to give to your juniors before you leave?",0.0
