Question,Segment Type,Segment Description,Answer,Count,Percentage,Single,timestamp
are there any good romantic comedies out right now,Mobile,Mobile respondents,Yes,19,0.96695176990641,False,19/03/21
show me a movie about cars that talk,Web,Mobile respondents,No,430,0.514801671117009,False,19/05/21
list the five star rated movies starring mel gibson,Mobile,Mobile respondents,I don't use Tinder,479,0.53901418715461,False,28/01/21
what science fiction films have come out recently,University,Web-based respondents,Yes,194,0.29566897103433,True,03/08/21
did the same director make all of the harry potter movies,University,Web-based respondents,No,19,0.401145420868218,True,25/06/21
show me 1980s action movies,University,Web-based respondents,I don't use Tinder,438,0.931669021058251,False,08/06/21
what is the name of the third movie in the star trek series,University,Male respondents,Yes,345,0.377296690532886,False,06/02/21
can you get a soundtrac for the harry potter films,University,Male respondents,No,124,0.85572017875901,True,04/04/21
find me science fiction movies since 2005,Mobile,Male respondents,I don't use Tinder,330,0.455284378793058,True,19/02/21
what is the most current movie featuring mat damon,Mobile,Female respondents,Yes,136,0.289715426612171,True,24/12/21
show me films where jim carrey is a detective,Mobile,Female respondents,No,236,0.635463359824536,False,18/07/21
did george clooney make a musical in the 1980s,University,Female respondents,I don't use Tinder,313,0.026556676045258,False,09/10/21
show me films with both matt damon ad ben affleck,Mobile,Chapman University,Yes,24,0.034770251746921,False,04/09/21
what is the borrowers movie,University,Chapman University,No,352,0.058781424351462,False,18/12/21
have u movie hm about to pg 18,University,Chapman University,I don't use Tinder,468,0.804120161529991,False,24/08/21
find rated g films with flying cars,University,Cornell University,Yes,15,0.687085072517745,False,03/03/21
what was the best rated stanley kubrick film,University,Cornell University,No,148,0.013489627897105,True,16/11/21
are there any films directed by shawn levy about large families,University,Cornell University,I don't use Tinder,268,0.131267303984126,False,08/11/21
list pg rated movies about cars released in the 1990s,Web,Duke University,Yes,242,0.395502115295777,True,22/10/21
what movie won best picure at the 2012 oscars,Mobile,Duke University,No,316,0.50348659512702,True,18/09/21
find me childrens movies with daniel radcliffe from the 2000s,Web,Duke University,I don't use Tinder,37,0.050187125073879,True,01/07/21
what was the plot behind 3 days of the condor,Mobile,George Washington University,Yes,189,0.731430325396749,True,04/12/21
what are considered the must see sci fi movies of the 1970s,Mobile,George Washington University,No,368,0.483636922924564,False,01/03/21
who directed the film pulp fiction that starred john travolta,University,George Washington University,I don't use Tinder,100,0.409012603939592,True,09/08/21
which film has the highest viewer rating this year,University,Georgetown University,Yes,270,0.684231478687358,True,19/04/21
what was the first movie in color,Mobile,Georgetown University,No,236,0.45489151020916,True,03/02/21
may i have the highly acclaimed film from 1985 directed by sylvester stallone,University,Georgetown University,I don't use Tinder,214,0.884580245059637,True,16/04/21
